Number,paper,low1_high2_other0,Author,Trial,Trial_2,Trial_3,nct_number,antibody,anti_type,mechanism,AD_stage,Biological,Dose,age_e,age_c,mmse_e,mmse_c,apoe4_e,apoe4_c,ab_centi_e,ab_centi_c,Ne_c,Nc_c,Me_c,Mc_c,SDe_c,SDc_c,SE_e_c,SE_c_c,Me_l_c,Me_u_c,Mc_l_c,Mc_u_c,diff_m_c,diff_l_c,diff_u_c,DIFF,SE_DIFF,adascog_ver,Ne_a,Nc_a,Me_a,Mc_a,SDe_a,SDc_a,SE_e_a,SE_c_a,Me_l_a,Me_u_a,Mc_l_a,Mc_u_a,Me_pre_a,Mc_pre_a,diff_m_a,diff_l_a,diff_u_a,Ne_ariae,Nc_ariae,ARIA_E_e,ARIA_E_c,Ne_ariah,Nc_ariah,ARIA_H_e,ARIA_H_c,Ne_ch,Nc_ch,ch_e,ch_c,Ne_death,Nc_death,death_e,death_c,Ne_Head,Nc_Head,Headache_e,Headache_c,Ne_fall,Nc_fall,Fall_e,Fall_c,Ne_dizzi,Nc_dizzi,Dizziness_e,Dizziness_c,Ne_SAE,Nc_SAE,SAE_E,SAE_c
1,1,0,"Bateman RJ et.al., 1",GRADUATE I,GRADUATE I,GRADUATE I,NCT03444870,2_Gantenerumab,human,oligoaggre,early,effective,120-510mg,71.1,72.1,23.5,23.6,65,68,99.44,96.07,499,485,3.35,3.65,,,0.14,0.16,,,,,-0.31,-0.66,0.05,-0.1791045,0.0646153,13,499,485,8.57,9.82,,,0.47,0.57,,,,,28.1,28.1,-1.25,-2.52,0.02,497,476,119,8,497,476,118,59,481,503,4,8,503,481,3,10,503,481,60,43,503,481,63,62,503,481,45,41,503,481,76,95
2,1,0,"Bateman RJ et.al., 1",GRADUATE II,GRADUATE II,GRADUATE II,NCT03443973,2_Gantenerumab,human,oligoaggre,early,effective,120-510mg ,71.6,71.8,23.6,23.8,67,67,95.62,90.7,498,477,2.82,3.01,,,0.14,0.15,,,,,-0.19,-0.55,0.17,,,13,498,477,8.57,9.82,,,0.47,0.57,,,,,28.1,28.2,-1.28,-2.41,-0.14,496,470,128,18,496,470,109,57,501,474,10,2,501,474,7,4,501,474,64,50,501,474,50,52,501,474,39,29,501,474,61,63
3,2,0,Sims JR et.al.,TRAILBLAZER-ALZ2,TRAILBLAZER-ALZ2,TRAILBLAZER-ALZ2,NCT04437511,3_Donanemab,humanized,aggregates,early,effective,700mg for the first 3 doses and 1400mg thereafter,73,73,22.4,22.2,70,71,103.5,101.6,794,838,1.72,2.42,,,,,1.53,1.91,2.24,2.6,-0.7,-0.95,-0.4,,,13,797,841,5.7,7.05,,,,,5.1,6.47,6.3,7.63,28.53,29.16,-1.35,-2.14,-0.57,853,874,205,18,853,874,268,119,853,874,3,2,853,874,16,10,853,874,119,86,853,874,114,110,853,874,53,48,853,874,148,138
4,3,0,"van Dyck CH et.al., ",Clarity_AD,Clarity_AD,Clarity_AD,NCT03887455,1_Lecanemab,humanized,oligoaggre,early,effective,10mg/kg,71.4,71,25.5,25.6,69,69,77.92,75.03,859,875,1.21,1.66,,,0.08,0.08,,,,,-0.45,-0.67,-0.23,,,14,859,875,4.14,5.58,,,0.29,0.29,,,,,24.45,24.37,-1.44,-2.27,-0.61,898,897,113,15,898,897,155,81,898,897,5,1,898,897,6,7,898,897,100,73,898,897,93,86,898,897,49,46,898,897,126,101
5,4,1,Budd Haebberlein et.al.1,EMERGE_low,EMERGE_low,EMERGE,NCT02484547 ,4_Aducanumab,human,oligoaggre,early,effective,3-6mg/kg target dose,70.6,70.8,26.3,26.4,67,67,87.95,83.57,543,548,,1.74,,,,0.11,,,,,-0.26,-0.57,0.04,,,13,543,548,,5.16,,,,0.4,,,,,22.49,21.87,-0.7,-1.76,0.36,537,544,140,13,537,544,87,37,,,,,544,547,0,5,544,547,110,84,544,547,68,71,544,547,42,44,544,547,72,81
6,4,2,Budd Haebberlein et.al.1,EMERGE_high,EMERGE_high,EMERGE,NCT02484547 ,4_Aducanumab,human,oligoaggre,early,effective,10mg/kg target dose,70.6,70.8,26.3,26.4,67,67,85.41,87.95,547,548,,1.74,,,,0.11,,,,,-0.39,-0.69,-0.09,,,13,547,548,,5.16,,,,0.4,,,,,22.25,21.87,-1.4,-2.46,-0.34,541,544,188,13,541,544,108,37,,,,,547,547,6,5,547,547,107,84,547,547,76,71,547,547,55,44,547,547,73,81
7,5,1,Budd Haebberlein et.al.2,ENGAGE_low,ENGAGE_low,ENGAGE,NCT02477800 ,4_Aducanumab,human,oligoaggre,early,effective,3-6mg/kg target dose,70.4,69.8,26.4,26.4,71,69,85.87,83.8,547,545,,1.56,,,,0.11,,,,,-0.18,-0.47,0.11,,,13,547,545,,5.14,,,,0.38,,,,,22.52,22.48,-0.58,-1.58,0.42,545,532,141,16,545,532,89,34,,,,,549,540,3,0,549,540,99,81,549,540,80,57,549,540,49,54,549,540,76,70
8,5,2,Budd Haebberlein et.al.2,ENGAGE_high,ENGAGE_high,ENGAGE,NCT02477800 ,4_Aducanumab,human,oligoaggre,early,effective,10mg/kg target dose,70,69.8,26.4,26.4,68,69,90.94,83.8,555,545,,1.56,,,,0.11,,,,,0.03,-0.26,0.33,,,13,555,545,,5.14,,,,0.38,,,,,22.4,22.48,-0.59,-1.61,0.43,554,532,199,16,554,532,109,34,,,,,558,540,2,0,558,540,115,81,558,540,86,57,558,540,54,54,558,540,79,70
9,6,0,Honig LS et.al.,EXPEDITION3,EXPEDITION3,EXPEDITION3,NCT01900665,5_Solanezumab,humanized,monomers,early,non,400mg ,72.7,73.3,22.8,22.6,69,66,,,1057,1072,1.87,2.21,,,0.1,0.11,,,,,-0.34,-0.57,-0.11,,,14,1057,1072,6.65,7.44,,,0.36,0.36,,,,,28.87,29.7,-0.8,-1.73,0.14,1054,1067,1,2,,,,,,,,,1054,1067,9,17,1054,1067,87,88,1054,1067,162,161,1054,1067,62,58,1054,1067,175,202
10,11,0,"Doody RS et.al.,1",EXPEDITION1,EXPEDITION1 & 2,EXPEDITION1,NCT00905372,5_Solanezumab,humanized,monomers,mildmoderate,non,400mg ,75,74.4,21,21,57,61,,,506,506,2,1.8,,,,,1.5,2.4,1.3,2.3,0.1,-0.3,0.6,,,11,506,506,3.8,4.5,,,,,2.5,5,3.3,5.8,22,22,-0.8,-2.1,0.5,1027,1025,9,4,1027,1025,50,57,,,,,1027,1025,24,19,1027,1025,72,77,1027,1025,92,107,1027,1025,58,57,1027,1025,261,263
11,12,0,"Doody RS et.al., 2",EXPEDITION2,EXPEDITION1 & 2,EXPEDITION2,NCT00904683,5_Solanezumab,humanized,monomers,mildmoderate,non,400mg ,72.5,72.4,21,21,57,60,,,521,519,1.6,1.9,,,,,1.2,2.1,1.4,2.4,-0.3,-0.7,0.2,,,11,521,519,5.3,6.6,,,,,4,6.7,5.2,7.9,24,23,-1.3,-2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7,1,Vandenberghe R et.al.1,Study 3000_low,Study 3000_low,Study 3000,NCT00667810,6_Bapineuzumab,humanized,oligoaggre,mildmoderate,effective,0.5mg/kg,73.1,71.9,22.4,22.2,0,0,,,255,328,2.2,2.5,2.8,2.8,,,,,,,-0.36,,,,,11,255,328,6,7.948,,,0.732,0.647,,,,,23.2,22.9,,,,267,344,13,2,,,,,267,344,0,0,267,344,1,3,,,,,,,,,,,,,,,,
13,7,2,Vandenberghe R et.al.1,Study 3000_high,Study 3000_high,Study 3000,NCT00667810,6_Bapineuzumab,humanized,oligoaggre,mildmoderate,effective,1.0 mg/kg ,73.5,71.9,22.2,22.2,0,0,,,253,328,2.2,2.5,2.6,2.8,,,,,,,-0.18,,,,,11,253,328,8.138,7.948,,,0.741,0.647,,,,,23.5,22.9,,,,263,344,31,2,,,,,263,344,0,0,263,344,1,3,,,,,,,,,,,,,,,,
14,8,0,Vandenberghe R et.al.2,Study 3001,Study 3001,Study 3001,NCT00676143,6_Bapineuzumab,humanized,oligoaggre,mildmoderate,effective,0.5mg/kg,72,72.3,23.5,23.9,100,100,,,650,431,2.3,2.4,2.9,2.8,,,,,,,-0.15,,,,,11,650,431,7.27,7.304,,,0.391,0.47,,,,,23.2,22.6,,,,654,439,109,9,,,,,439,439,5,2,654,439,4,4,,,,,,,,,,,,,,,,
15,9,1,"Salloway S et.al.,1",Study 301_low,Study 301_low,Study 301,NCT00575055,6_Bapineuzumab,humanized,oligoaggre,mildmoderate,effective,0.5mg/kg,71.1,69.7,20.8,20.8,0,0,,,314,493,2.6,2.6,,,0.2,0.2,,,,,0,-0.5,0.5,,,11,314,493,7.1,7.4,,,0.6,0.5,,,,,22.4,22.2,-0.3,-1.8,1.1,337,524,14,1,,,,,337,524,1,0,337,524,4,7,337,524,30,49,337,524,43,73,337,524,,,337,524,72,108
16,9,2,"Salloway S et.al.,1",Study 301_high,Study 301_high,Study 301,NCT00575055,6_Bapineuzumab,humanized,oligoaggre,mildmoderate,effective,1.0 mg/kg ,70.7,69.7,20.8,20.8,0,0,,,307,493,2.8,2.6,,,0.2,0.2,,,,,0.2,-0.3,0.7,,,11,307,493,7.8,7.4,,,0.6,0.5,,,,,22.2,22.2,0.4,-1.1,1.8,329,524,31,1,,,,,329,524,1,0,329,524,7,7,329,524,34,49,329,524,43,73,329,524,,,329,524,76,108
17,10,0,"Salloway S et.al.,2",Study 302,Study 302,Study 302,NCT00574132,6_Bapineuzumab,humanized,oligoaggre,mildmoderate,effective,0.5mg/kg,70.9,70.2,20.9,21,100,100,,,658,432,3.3,3,,,0.1,0.2,,,,,0.2,-0.2,0.6,,,11,658,432,8.5,8.7,,,0.4,0.5,,,,,23.5,23.9,-0.2,-1.4,1,448,673,103,1,,,,,673,448,2,1,673,448,15,5,673,448,78,48,673,448,100,64,673,448,54,31,673,448,176,89
18,13,0,"Ostrowitzki S et.al., 2022",CREAD,CREAD,CREAD,NCT02670083,7_Crenezumab,humanized,oligoaggre,early,non,60mg/kg,71,70.3,23.7,23.4,72.7,71.7,,,86,88,3.59,3.42,,,,,3.07,4.11,2.9,3.93,-0.17,-0.86,0.53,,,13,80,86,9.82,9.55,,,,,8.16,11.47,7.94,11.17,,,-0.26,-2.39,1.87,399,397,1,1,399,397,39,31,,,,,404,405,8,5,404,405,39,45,404,405,43,33,404,405,23,27,404,405,67,63
19,13,0,"Ostrowitzki S et.al., 2022",CREAD2,CREAD2,CREAD2,NCT03114657,7_Crenezumab,humanized,oligoaggre,early,non,60mg/kg,71.1,70.7,23.6,23.5,66.9,65.9,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,398,388,1,0,398,388,20,23,,,,,404,398,0,6,404,398,25,22,404,398,20,24,404,398,19,10,404,398,33,42
20,14,1,"Ostrowitzki S et.al., 2017",Scarlet_RoAD_low,Scarlet_RoAD_low,Scarlet_RoAD,NCT01224106,2_Gantenerumab,human,oligoaggre,early,non,105mg,70.3,69.5,25.7,25.7,79,70.3,,,110,108,1.69,1.6,,,,,1.37,2.01,1.28,1.91,0.1,-0.35,0.54,,,13,110,108,5.14,5.77,,,,,3.91,6.38,4.54,6.99,,,-0.62,-2.34,1.09,271,266,18,2,271,266,62,35,,,,,271,266,0,6,271,266,34,36,271,266,23,28,271,266,21,21,271,266,48,55
21,14,2,"Ostrowitzki S et.al., 2017",Scarlet_RoAD_high,Scarlet_RoAD_high,Scarlet_RoAD,NCT01224106,2_Gantenerumab,human,oligoaggre,early,effective,225mg,71.3,69.5,25.7,25.7,61.5,70.3,,,98,108,1.73,1.6,,,,,1.42,2.04,1.28,1.91,0.18,-0.28,0.63,,,13,98,108,5.54,5.77,,,,,4.21,6.87,4.54,6.99,,,-0.27,-2.23,1.7,260,266,35,2,260,266,42,35,,,,,260,266,2,6,260,266,25,36,260,266,28,28,260,266,27,21,260,266,46,55